year,month,reservoir_pct,demand_ml_day,rainfall_provisional_pct_lta,rainfall_actual_pct_lta,source_url,retrieved_date
2023,January,93,1351.6,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,February,91,1320.1,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,March,97,1302.7,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,April,97,1298.9,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,May,88,1326.4,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,June,76,1356.0,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,July,78,1285.5,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,August,83,1268.9,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,September,80,1265.3,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,October,97,1263.2,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,November,96,1290.1,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2023,December,97,1323.0,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,January,98,1396.8,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,February,98,1319.5,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,March,98,1323.7,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,April,92,1294.4,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,May,94,1310.3,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,June,88,1294.8,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,July,68,1338.8,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,August,68,1311.3,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,September,83,1289.6,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,October,83,1304.8,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,November,83,1290.7,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2024,December,92,1299.4,,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,January,98,1429.6,121,103,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,February,97,1364.6,52,53,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,March,88,1347.5,40,43,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,April,76,1325.0,16,19,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,May,63,1376.4,17,65,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,June,56,1380.4,84,56,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,July,47,1290.1,102,101,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,August,36,1288.5,30,28,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,September,46,1284.0,163,177,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,October,57,1285.0,95,98,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,November,85,1304.0,144,176,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2025,December,94,1276.0,108,108,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2026,January,97,1402.0,104,124,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2026,February,99,1347.0,162.8,143,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2026,March,98,1318.0,91.8,95,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2026,April,93,1324.7,42.2,43,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2026,May,87,1340.0,76.1,114,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2026,June,78,1447.0,86.7,74,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
2026,July,65,1382.0,19.4,,https://www.yorkshirewater.com/about-us/what-we-do/open-data/watsit-report/,2026-08-21
